job_id,x,uy_fem_mm,uy_roark_mm,error_uy_mm,theta_z_fem_deg,theta_z_roark_deg,error_theta_deg
0.000000000000000000e+00,4.375000000000000000e-01,-2.023762699700999979e-01,-2.124950834065801597e-01,1.011881343648016185e-02,-5.092256437973157607e-02,-5.346869258035685107e-02,2.546128200625275007e-03
0.000000000000000000e+00,4.531250000000000000e-01,-2.164800478714999921e-01,-2.273040501979604056e-01,1.082400232646041349e-02,-5.250990622082219589e-02,-5.513540151260794969e-02,2.625495291785753804e-03
0.000000000000000000e+00,4.687500000000000000e-01,-2.310145308304999978e-01,-2.425652572995601608e-01,1.155072646906016298e-02,-5.408129487760208326e-02,-5.678535960131883553e-02,2.704064723716752272e-03
0.000000000000000000e+00,4.843750000000000000e-01,-2.459753682910000294e-01,-2.582741366274378114e-01,1.229876833643778200e-02,-5.563673035007694195e-02,-5.841856684648950165e-02,2.781836496412559701e-03
0.000000000000000000e+00,5.000000000000000000e-01,-2.613582096968000146e-01,-2.744261200976517712e-01,1.306791040085175659e-02,-5.717621263824106126e-02,-6.003502324811996887e-02,2.858810609878907616e-03
0.000000000000000000e+00,5.156250000000000000e-01,-2.771587044918000231e-01,-2.910166396262604538e-01,1.385793513446043068e-02,-5.869974174210016576e-02,-6.163472880621022332e-02,2.934987064110057553e-03
0.000000000000000000e+00,5.312500000000000000e-01,-2.933725021199000138e-01,-3.080411271293221342e-01,1.466862500942212044e-02,-6.020731766165425547e-02,-6.321768352076025110e-02,3.010365859105995634e-03
0.000000000000000000e+00,5.468750000000000000e-01,-3.099952520249000254e-01,-3.254950145228953096e-01,1.549976249799528416e-02,-6.169894039692051108e-02,-6.478388739177008693e-02,3.084946994849575852e-03
0.000000000000000000e+00,5.625000000000000000e-01,-3.270226036507000167e-01,-3.433737337230383657e-01,1.635113007233834903e-02,-6.317460994784165895e-02,-6.633334041923968916e-02,3.158730471398030204e-03
0.000000000000000000e+00,5.781250000000000000e-01,-3.444502064412000020e-01,-3.616727166458096332e-01,1.722251020460963122e-02,-6.463432631447496579e-02,-6.786604260316909942e-02,3.231716288694133632e-03
0.000000000000000000e+00,5.937500000000000000e-01,-3.622737098402000200e-01,-3.803873952072675535e-01,1.811368536706753352e-02,-6.607808949682045241e-02,-6.938199394355828997e-02,3.303904446737837564e-03
0.000000000000000000e+00,6.093750000000000000e-01,-3.804887632916000295e-01,-3.995132013234704571e-01,1.902443803187042759e-02,-6.750589949487811881e-02,-7.088119444040727468e-02,3.375294945529155877e-03
0.000000000000000000e+00,6.250000000000000000e-01,-3.990910162393999649e-01,-4.190455669104767855e-01,1.995455067107682057e-02,-6.891775630859064972e-02,-7.236364409371602580e-02,3.445887785125376079e-03
0.000000000000000000e+00,6.406250000000000000e-01,-4.180761181273000004e-01,-4.389799238843449247e-01,2.090380575704492427e-02,-7.031365993801536041e-02,-7.382934290348458495e-02,3.515682965469224541e-03
0.000000000000000000e+00,6.562500000000000000e-01,-4.374397183992000393e-01,-4.593117041611332052e-01,2.187198576193316590e-02,-7.169361038315223700e-02,-7.527829086971292438e-02,3.584680486560687385e-03
