Row (Global DOF),Column (Global DOF),K Value
71,77,1.402927680000e+07
72,66,-4.401600000000e+09
72,72,8.803200000000e+09
72,78,-4.401600000000e+09
73,67,-2.154896916480e+10
73,71,-6.734052864000e+08
73,73,4.309793832960e+10
73,77,0.000000000000e+00
73,79,-2.154896916480e+10
73,83,6.734052864000e+08
74,68,-3.338108928000e+09
74,70,1.043159040000e+08
74,74,6.676217856000e+09
74,76,0.000000000000e+00
74,80,-3.338108928000e+09
74,82,-1.043159040000e+08
75,69,-3.378322080000e+04
75,75,6.756644160000e+04
75,81,-3.378322080000e+04
76,68,-1.043159040000e+08
76,70,2.173248000000e+06
76,74,0.000000000000e+00
76,76,8.692992000000e+06
76,80,1.043159040000e+08
76,82,2.173248000000e+06
77,67,6.734052864000e+08
77,71,1.402927680000e+07
77,73,0.000000000000e+00
77,77,5.611710720000e+07
77,79,-6.734052864000e+08
77,83,1.402927680000e+07
78,72,-4.401600000000e+09
78,78,8.803200000000e+09
78,84,-4.401600000000e+09
79,73,-2.154896916480e+10
79,77,-6.734052864000e+08
79,79,4.309793832960e+10
79,83,0.000000000000e+00
79,85,-2.154896916480e+10
79,89,6.734052864000e+08
80,74,-3.338108928000e+09
80,76,1.043159040000e+08
80,80,6.676217856000e+09
80,82,0.000000000000e+00
80,86,-3.338108928000e+09
80,88,-1.043159040000e+08
81,75,-3.378322080000e+04
81,81,6.756644160000e+04
81,87,-3.378322080000e+04
82,74,-1.043159040000e+08
82,76,2.173248000000e+06
82,80,0.000000000000e+00
82,82,8.692992000000e+06
82,86,1.043159040000e+08
82,88,2.173248000000e+06
83,73,6.734052864000e+08
83,77,1.402927680000e+07
83,79,0.000000000000e+00
83,83,5.611710720000e+07
83,85,-6.734052864000e+08
83,89,1.402927680000e+07
84,78,-4.401600000000e+09
84,84,8.803200000000e+09
84,90,-4.401600000000e+09
85,79,-2.154896916480e+10
85,83,-6.734052864000e+08
85,85,4.309793832960e+10
85,89,0.000000000000e+00
85,91,-2.154896916480e+10
85,95,6.734052864000e+08
86,80,-3.338108928000e+09
86,82,1.043159040000e+08
86,86,6.676217856000e+09
86,88,0.000000000000e+00
86,92,-3.338108928000e+09
86,94,-1.043159040000e+08
87,81,-3.378322080000e+04
87,87,6.756644160000e+04
87,93,-3.378322080000e+04
88,80,-1.043159040000e+08
88,82,2.173248000000e+06
88,86,0.000000000000e+00
88,88,8.692992000000e+06
88,92,1.043159040000e+08
88,94,2.173248000000e+06
89,79,6.734052864000e+08
89,83,1.402927680000e+07
89,85,0.000000000000e+00
89,89,5.611710720000e+07
89,91,-6.734052864000e+08
89,95,1.402927680000e+07
90,84,-4.401600000000e+09
90,90,8.803200000000e+09
90,96,-4.401600000000e+09
91,85,-2.154896916480e+10
91,89,-6.734052864000e+08
91,91,4.309793832960e+10
91,95,0.000000000000e+00
91,97,-2.154896916480e+10
91,101,6.734052864000e+08
92,86,-3.338108928000e+09
92,88,1.043159040000e+08
92,92,6.676217856000e+09
92,94,0.000000000000e+00
92,98,-3.338108928000e+09
92,100,-1.043159040000e+08
93,87,-3.378322080000e+04
93,93,6.756644160000e+04
93,99,-3.378322080000e+04
94,86,-1.043159040000e+08
94,88,2.173248000000e+06
94,92,0.000000000000e+00
94,94,8.692992000000e+06
94,98,1.043159040000e+08
94,100,2.173248000000e+06
95,85,6.734052864000e+08
95,89,1.402927680000e+07
95,91,0.000000000000e+00
95,95,5.611710720000e+07
95,97,-6.734052864000e+08
95,101,1.402927680000e+07
96,90,-4.401600000000e+09
96,96,8.803200000000e+09
96,102,-4.401600000000e+09
97,91,-2.154896916480e+10
97,95,-6.734052864000e+08
97,97,4.309793832960e+10
97,101,0.000000000000e+00
97,103,-2.154896916480e+10
97,107,6.734052864000e+08
98,92,-3.338108928000e+09
98,94,1.043159040000e+08
98,98,6.676217856000e+09
98,100,0.000000000000e+00
98,104,-3.338108928000e+09
98,106,-1.043159040000e+08
99,93,-3.378322080000e+04
99,99,6.756644160000e+04
99,105,-3.378322080000e+04
100,92,-1.043159040000e+08
100,94,2.173248000000e+06
100,98,0.000000000000e+00
100,100,8.692992000000e+06
100,104,1.043159040000e+08
100,106,2.173248000000e+06
101,91,6.734052864000e+08
101,95,1.402927680000e+07
101,97,0.000000000000e+00
101,101,5.611710720000e+07
101,103,-6.734052864000e+08
101,107,1.402927680000e+07
102,96,-4.401600000000e+09
102,102,8.803200000000e+09
102,108,-4.401600000000e+09
103,97,-2.154896916480e+10
103,101,-6.734052864000e+08
103,103,4.309793832960e+10
103,107,0.000000000000e+00
103,109,-2.154896916480e+10
103,113,6.734052864000e+08
104,98,-3.338108928000e+09
104,100,1.043159040000e+08
104,104,6.676217856000e+09
104,106,0.000000000000e+00
104,110,-3.338108928000e+09
104,112,-1.043159040000e+08
105,99,-3.378322080000e+04
105,105,6.756644160000e+04
105,111,-3.378322080000e+04
106,98,-1.043159040000e+08
106,100,2.173248000000e+06
106,104,0.000000000000e+00
106,106,8.692992000000e+06
106,110,1.043159040000e+08
106,112,2.173248000000e+06
107,97,6.734052864000e+08
107,101,1.402927680000e+07
107,103,0.000000000000e+00
107,107,5.611710720000e+07
107,109,-6.734052864000e+08
107,113,1.402927680000e+07
108,102,-4.401600000000e+09
108,108,8.803200000000e+09
108,114,-4.401600000000e+09
109,103,-2.154896916480e+10
109,107,-6.734052864000e+08
109,109,4.309793832960e+10
109,113,0.000000000000e+00
109,115,-2.154896916480e+10
109,119,6.734052864000e+08
110,104,-3.338108928000e+09
110,106,1.043159040000e+08
110,110,6.676217856000e+09
110,112,0.000000000000e+00
110,116,-3.338108928000e+09
110,118,-1.043159040000e+08
111,105,-3.378322080000e+04
111,111,6.756644160000e+04
111,117,-3.378322080000e+04
112,104,-1.043159040000e+08
112,106,2.173248000000e+06
112,110,0.000000000000e+00
112,112,8.692992000000e+06
112,116,1.043159040000e+08
112,118,2.173248000000e+06
113,103,6.734052864000e+08
113,107,1.402927680000e+07
113,109,0.000000000000e+00
113,113,5.611710720000e+07
113,115,-6.734052864000e+08
113,119,1.402927680000e+07
114,108,-4.401600000000e+09
114,114,8.803200000000e+09
114,120,-4.401600000000e+09
115,109,-2.154896916480e+10
115,113,-6.734052864000e+08
115,115,4.309793832960e+10
115,119,0.000000000000e+00
115,121,-2.154896916480e+10
115,125,6.734052864000e+08
116,110,-3.338108928000e+09
116,112,1.043159040000e+08
116,116,6.676217856000e+09
116,118,0.000000000000e+00
116,122,-3.338108928000e+09
116,124,-1.043159040000e+08
117,111,-3.378322080000e+04
117,117,6.756644160000e+04
117,123,-3.378322080000e+04
118,110,-1.043159040000e+08
118,112,2.173248000000e+06
118,116,0.000000000000e+00
118,118,8.692992000000e+06
118,122,1.043159040000e+08
118,124,2.173248000000e+06
119,109,6.734052864000e+08
119,113,1.402927680000e+07
119,115,0.000000000000e+00
119,119,5.611710720000e+07
119,121,-6.734052864000e+08
119,125,1.402927680000e+07
120,114,-4.401600000000e+09
120,120,8.803200000000e+09
120,126,-4.401600000000e+09
121,115,-2.154896916480e+10
121,119,-6.734052864000e+08
121,121,4.309793832960e+10
121,125,0.000000000000e+00
121,127,-2.154896916480e+10
121,131,6.734052864000e+08
122,116,-3.338108928000e+09
122,118,1.043159040000e+08
122,122,6.676217856000e+09
122,124,0.000000000000e+00
122,128,-3.338108928000e+09
122,130,-1.043159040000e+08
123,117,-3.378322080000e+04
123,123,6.756644160000e+04
123,129,-3.378322080000e+04
124,116,-1.043159040000e+08
124,118,2.173248000000e+06
124,122,0.000000000000e+00
124,124,8.692992000000e+06
124,128,1.043159040000e+08
124,130,2.173248000000e+06
125,115,6.734052864000e+08
125,119,1.402927680000e+07
125,121,0.000000000000e+00
125,125,5.611710720000e+07
