Row (Condensed DOF),Column (Condensed DOF),K Value
101,101,2.944019422500e+07
101,103,-4.421250000000e+07
101,107,-1.333845648750e+07
102,96,-8.803200000000e+09
102,102,1.760640000000e+10
102,108,-8.803200000000e+09
103,97,-2.829600000000e+09
103,101,-4.421250000000e+07
103,103,5.659200000000e+09
103,107,0.000000000000e+00
103,109,-2.829600000000e+09
103,113,4.421250000000e+07
104,98,-2.829600000000e+09
104,100,4.421250000000e+07
104,104,5.659200000000e+09
104,106,0.000000000000e+00
104,110,-2.829600000000e+09
104,112,-4.421250000000e+07
105,99,-6.756644160000e+04
105,105,1.351328832000e+05
105,111,-6.756644160000e+04
106,98,-4.421250000000e+07
106,100,-1.482427687500e+06
106,104,0.000000000000e+00
106,106,5.728136625000e+06
106,110,4.421250000000e+07
106,112,-1.482427687500e+06
107,97,4.421250000000e+07
107,101,-1.333845648750e+07
107,103,0.000000000000e+00
107,107,2.944019422500e+07
107,109,-4.421250000000e+07
107,113,-1.333845648750e+07
108,102,-8.803200000000e+09
108,108,1.760640000000e+10
108,114,-8.803200000000e+09
109,103,-2.829600000000e+09
109,107,-4.421250000000e+07
109,109,5.659200000000e+09
109,113,0.000000000000e+00
109,115,-2.829600000000e+09
109,119,4.421250000000e+07
110,104,-2.829600000000e+09
110,106,4.421250000000e+07
110,110,5.659200000000e+09
110,112,0.000000000000e+00
110,116,-2.829600000000e+09
110,118,-4.421250000000e+07
111,105,-6.756644160000e+04
111,111,1.351328832000e+05
111,117,-6.756644160000e+04
112,104,-4.421250000000e+07
112,106,-1.482427687500e+06
112,110,0.000000000000e+00
112,112,5.728136625000e+06
112,116,4.421250000000e+07
112,118,-1.482427687500e+06
113,103,4.421250000000e+07
113,107,-1.333845648750e+07
113,109,0.000000000000e+00
113,113,2.944019422500e+07
113,115,-4.421250000000e+07
113,119,-1.333845648750e+07
114,108,-8.803200000000e+09
114,114,1.760640000000e+10
114,120,-8.803200000000e+09
115,109,-2.829600000000e+09
115,113,-4.421250000000e+07
115,115,5.659200000000e+09
115,119,0.000000000000e+00
115,121,-2.829600000000e+09
115,125,4.421250000000e+07
116,110,-2.829600000000e+09
116,112,4.421250000000e+07
116,116,5.659200000000e+09
116,118,0.000000000000e+00
116,122,-2.829600000000e+09
116,124,-4.421250000000e+07
117,111,-6.756644160000e+04
117,117,1.351328832000e+05
117,123,-6.756644160000e+04
118,110,-4.421250000000e+07
118,112,-1.482427687500e+06
118,116,0.000000000000e+00
118,118,5.728136625000e+06
118,122,4.421250000000e+07
118,124,-1.482427687500e+06
119,109,4.421250000000e+07
119,113,-1.333845648750e+07
119,115,0.000000000000e+00
119,119,2.944019422500e+07
119,121,-4.421250000000e+07
119,125,-1.333845648750e+07
120,114,-8.803200000000e+09
120,120,1.760640000000e+10
120,126,-8.803200000000e+09
121,115,-2.829600000000e+09
121,119,-4.421250000000e+07
121,121,5.659200000000e+09
121,125,0.000000000000e+00
121,127,-2.829600000000e+09
121,131,4.421250000000e+07
122,116,-2.829600000000e+09
122,118,4.421250000000e+07
122,122,5.659200000000e+09
122,124,0.000000000000e+00
122,128,-2.829600000000e+09
122,130,-4.421250000000e+07
123,117,-6.756644160000e+04
123,123,1.351328832000e+05
123,129,-6.756644160000e+04
124,116,-4.421250000000e+07
124,118,-1.482427687500e+06
124,122,0.000000000000e+00
124,124,5.728136625000e+06
124,128,4.421250000000e+07
124,130,-1.482427687500e+06
125,115,4.421250000000e+07
125,119,-1.333845648750e+07
125,121,0.000000000000e+00
125,125,2.944019422500e+07
125,127,-4.421250000000e+07
125,131,-1.333845648750e+07
126,120,-8.803200000000e+09
126,126,1.760640000000e+10
126,132,-8.803200000000e+09
127,121,-2.829600000000e+09
127,125,-4.421250000000e+07
127,127,5.659200000000e+09
127,131,0.000000000000e+00
127,133,-2.829600000000e+09
127,137,4.421250000000e+07
128,122,-2.829600000000e+09
128,124,4.421250000000e+07
128,128,5.659200000000e+09
128,130,0.000000000000e+00
128,134,-2.829600000000e+09
128,136,-4.421250000000e+07
129,123,-6.756644160000e+04
129,129,1.351328832000e+05
129,135,-6.756644160000e+04
130,122,-4.421250000000e+07
130,124,-1.482427687500e+06
130,128,0.000000000000e+00
130,130,5.728136625000e+06
130,134,4.421250000000e+07
130,136,-1.482427687500e+06
131,121,4.421250000000e+07
131,125,-1.333845648750e+07
131,127,0.000000000000e+00
131,131,2.944019422500e+07
131,133,-4.421250000000e+07
131,137,-1.333845648750e+07
132,126,-8.803200000000e+09
132,132,1.760640000000e+10
132,138,-8.803200000000e+09
