job_id,x,uy_fem_mm,uy_roark_mm,error_uy_mm,theta_z_fem_deg,theta_z_roark_deg,error_theta_z_deg
0.000000000000000000e+00,1.360000000000000098e+00,-1.631282752768000055e+00,-1.631282756737206574e+00,3.969206519016665879e-09,-1.173059847351742985e-01,-1.173059850177142344e-01,2.825399358918900816e-10
0.000000000000000000e+00,1.379999999999999893e+00,-1.672374725896000003e+00,-1.672374729964697604e+00,4.068697601056214808e-09,-1.181293221954603789e-01,-1.181293224794027485e-01,2.839423696165965794e-10
0.000000000000000000e+00,1.399999999999999911e+00,-1.713749536127000095e+00,-1.713749540294668972e+00,4.167668876675634237e-09,-1.189265219585481231e-01,-1.189265222438947861e-01,2.853466629648693242e-10
0.000000000000000000e+00,1.419999999999999929e+00,-1.755398059682000023e+00,-1.755398063949620724e+00,4.267620701270402606e-09,-1.196975840246094352e-01,-1.196975843111903609e-01,2.865809256569207264e-10
0.000000000000000000e+00,1.439999999999999947e+00,-1.797311172784000100e+00,-1.797311177152053796e+00,4.368053696524043517e-09,-1.204425083935297264e-01,-1.204425086812895007e-01,2.877597743422555254e-10
0.000000000000000000e+00,1.459999999999999964e+00,-1.839479751655999973e+00,-1.839479756124468901e+00,4.468468928209290425e-09,-1.211612950653089965e-01,-1.211612953541921639e-01,2.888831673875102979e-10
0.000000000000000000e+00,1.479999999999999982e+00,-1.881894672520000089e+00,-1.881894677089365864e+00,4.569365774642619726e-09,-1.218539440400045332e-01,-1.218539443298983505e-01,2.898938172846143857e-10
0.000000000000000000e+00,1.500000000000000000e+00,-1.924546811599000096e+00,-1.924546816269246508e+00,4.670246411819789500e-09,-1.225204553175590488e-01,-1.225204556084081020e-01,2.908490531750018704e-10
0.000000000000000000e+00,1.520000000000000018e+00,-1.967427045114000128e+00,-1.967427049886610879e+00,4.772610751047068334e-09,-1.231608288980298171e-01,-1.231608291897213631e-01,2.916915459172386704e-10
0.000000000000000000e+00,1.540000000000000036e+00,-2.010526249289999789e+00,-2.010526254163958804e+00,4.873959014162210224e-09,-1.237750647813595783e-01,-1.237750650738381891e-01,2.924786107749710595e-10
0.000000000000000000e+00,1.560000000000000053e+00,-2.053835300347000015e+00,-2.053835305323792770e+00,4.976792755684300573e-09,-1.243631629676056061e-01,-1.243631632607585524e-01,2.931529463623405718e-10
0.000000000000000000e+00,1.580000000000000071e+00,-2.097345074510000185e+00,-2.097345079588612382e+00,5.078612197451093380e-09,-1.249251234567106267e-01,-1.249251237504824530e-01,2.937718263096300575e-10
0.000000000000000000e+00,1.600000000000000089e+00,-2.141046447998999902e+00,-2.141046453180918352e+00,5.181918449892464196e-09,-1.254609462486745708e-01,-1.254609465430099047e-01,2.943353338835663635e-10
0.000000000000000000e+00,1.620000000000000107e+00,-2.184930297039000102e+00,-2.184930302323210505e+00,5.284210402578537469e-09,-1.259706313434975355e-01,-1.259706316383408797e-01,2.948433441840592195e-10
0.000000000000000000e+00,1.639999999999999902e+00,-2.228987497851000033e+00,-2.228987503237990442e+00,5.386990409306235961e-09,-1.264541787412367668e-01,-1.264541790364754059e-01,2.952386390919770065e-10
